Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	7.234	5.175	7.234	4.523	6.381
2	0.0	4.327	6.222	4.327	5.526	4.266
3	0.0	7.136	5.735	7.136	3.816	5.077
4	0.0	3.003	7.243	3.003	6.561	2.845
5	0.0	6.993	7.325	6.993	5.811	5.757
6	0.0	3.497	4.048	3.497	3.86	3.788
7	0.0	6.404	6.909	6.404	5.817	5.21
8	0.0	3.578	3.445	3.578	4.092	4.376
9	0.0	1.945	3.726	1.945	4.007	2.088
10	0.0	3.783	3.786	3.783	4.644	4.9
11	0.0	2.83	2.382	2.83	3.298	3.438
12	0.0	3.971	3.053	3.971	4.099	5.2
13	0.0	2.505	1.951	2.505	2.006	3.732
14	0.0	2.397	2.525	2.397	3.968	3.836
15	0.0	1.954	1.72	1.954	2.117	2.588
16	0.0	2.193	2.074	2.193	3.106	3.765
17	0.0	2.172	2.256	2.172	3.096	3.21
18	0.0	2.294	2.499	2.294	3.648	3.145
19	0.0	2.495	2.498	2.495	3.434	3.247
20	0.0	1.972	2.056	1.972	3.013	2.987
21	0.0	2.624	1.926	2.624	2.818	3.687
22	0.0	1.955	1.991	1.955	3.133	2.822
23	0.0	2.571	2.177	2.571	3.05	3.489
24	0.0	2.383	1.912	2.383	2.805	3.308
25	0.0	2.113	1.836	2.113	2.694	2.948
26	0.0	1.342	1.74	1.342	2.42	1.865
27	0.0	1.092	1.641	1.092	2.473	1.441
28	0.0	1.08	1.065	1.08	1.393	1.459
29	0.0	1.048	1.148	1.048	1.525	1.428
30	0.0	1.576	0.8671	1.576	1.101	2.367
31	0.0	2.522	2.686	2.522	4.561	3.993
32	0.0	1.033	0.7609	1.033	0.9502	1.403
33	0.0	0.9174	0.9006	0.9174	1.135	1.486
34	0.0	1.639	0.9954	1.639	1.355	2.203
35	0.0	2.02	1.757	2.02	2.538	3.109
36	0.0	1.025	1.638	1.025	2.388	1.486
37	0.0	1.181	1.748	1.181	2.354	1.977
38	0.0	1.593	1.391	1.593	1.777	2.142
39	0.0	1.003	0.9338	1.003	1.291	1.478
40	0.0	1.036	1.11	1.036	1.847	1.448
41	0.0	1.858	1.047	1.858	1.754	2.547
42	0.0	0.8938	0.9129	0.8938	1.352	1.255
43	0.0	0.6906	1.534	0.6906	1.82	0.8029
44	0.0	1.107	1.029	1.107	1.552	1.756
45	0.0	0.6934	0.8535	0.6934	1.408	1.116
46	0.0	0.8486	0.9578	0.8486	1.232	1.379
47	0.0	0.9562	1.831	0.9562	2.219	1.401
48	0.0	0.9556	1.226	0.9556	1.594	1.644
49	0.0	0.9196	1.134	0.9196	1.728	1.554
50	0.0	1.899	1.48	1.899	1.778	2.776
51	0.0	1.586	0.6632	1.586	0.8334	2.179
52	0.0	1.391	1.203	1.391	1.744	1.71
53	0.0	1.48	0.86	1.48	1.262	2.007
54	0.0	1.486	0.7384	1.486	0.8414	1.918
55	0.0	0.7413	1.249	0.7413	1.741	0.8707
56	0.0	0.6353	1.03	0.6353	1.3	0.8991
57	0.0	0.8268	0.853	0.8268	1.027	0.9913
58	0.0	1.228	0.5571	1.228	0.7176	1.593
59	0.0	0.9386	0.7385	0.9386	1.023	1.256
60	0.0	0.6812	0.6931	0.6812	0.9029	0.9178
61	0.0	1.606	1.703	1.606	1.987	1.884
62	0.0	1.335	1.532	1.335	1.684	1.692
63	0.0	1.659	0.5946	1.659	0.7018	1.909
64	0.0	1.239	1.743	1.239	1.752	1.588
65	0.0	0.6488	0.7379	0.6488	0.8917	0.9472
66	0.0	1.108	1.591	1.108	1.992	1.601
67	0.0	0.6358	0.67	0.6358	0.9061	0.842
68	0.0	1.184	1.526	1.184	2.077	1.566
69	0.0	0.8045	0.6707	0.8045	0.8376	1.169
70	0.0	0.9892	0.7154	0.9892	1.185	1.55
71	0.0	1.344	1.453	1.344	1.702	1.802
72	0.0	0.6206	0.6224	0.6206	0.8142	0.93
73	0.0	0.6632	0.8979	0.6632	1.114	0.9941
74	0.0	1.533	1.109	1.533	1.543	1.892
75	0.0	0.6788	0.6308	0.6788	0.7852	0.9388
76	0.0	1.206	1.107	1.206	1.348	1.43
77	0.0	0.6019	0.7944	0.6019	0.9236	0.8201
78	0.0	0.4956	0.5766	0.4956	0.7699	0.6768
79	0.0	0.7636	0.8392	0.7636	1.003	1.156
80	0.0	1.101	1.233	1.101	1.409	1.287
81	0.0	1.388	1.196	1.388	1.561	1.715
82	0.0	0.8283	0.5914	0.8283	0.7396	1.333
83	0.0	1.032	1.139	1.032	1.339	1.171
84	0.0	0.5434	0.4797	0.5434	0.6506	0.7737
85	0.0	1.121	0.7421	1.121	1.004	1.514
86	0.0	0.7131	0.9114	0.7131	1.028	0.9284
87	0.0	0.68	0.7317	0.68	0.9934	1.1
88	0.0	0.3536	0.583	0.3536	0.7561	0.4949
89	0.0	0.7001	0.8144	0.7001	0.9483	0.8974
90	0.0	1.026	1.737	1.026	1.899	1.182
91	0.0	0.8236	0.4987	0.8236	0.6052	1.295
92	0.0	0.7797	0.6965	0.7797	0.9727	1.08
93	0.0	0.5181	0.6804	0.5181	0.8702	0.7154
94	0.0	0.8883	2.024	0.8883	1.959	1.024
95	0.0	0.53	0.582	0.53	0.6798	0.5764
96	0.0	0.9394	0.8693	0.9394	1.291	1.052
97	0.0	1.387	0.9138	1.387	1.164	1.601
98	0.0	0.337	0.4279	0.337	0.6322	0.4856
99	0.0	0.5695	1.068	0.5695	1.387	0.7049
100	0.0	0.7699	0.9926	0.7699	1.318	0.9737
101	0.0	1.497	1.528	1.497	1.486	1.605
102	0.0	0.6662	0.6063	0.6662	0.7751	0.9487
103	0.0	1.071	0.7757	1.071	1.075	1.292
104	0.0	1.168	1.277	1.168	1.794	1.539
105	0.0	0.6056	0.9003	0.6056	0.9998	0.8321
106	0.0	0.9223	0.4693	0.9223	0.5355	1.062
107	0.0	0.5239	0.5565	0.5239	0.668	0.7576
108	0.0	0.5401	0.4945	0.5401	0.6328	0.7086
109	0.0	0.6339	0.4218	0.6339	0.573	0.8002
110	0.0	1.168	0.6932	1.168	0.8524	1.415
111	0.0	0.4633	0.4923	0.4633	0.6242	0.6319
112	0.0	1.376	1.444	1.376	1.643	1.757
113	0.0	0.6042	0.5277	0.6042	0.6298	0.8106
114	0.0	0.4596	0.5007	0.4596	0.609	0.6735
115	0.0	1.461	0.9226	1.461	1.144	2.032
116	0.0	0.5737	0.9191	0.5737	1.252	0.7722
117	0.0	1.464	0.8434	1.464	0.9246	1.934
118	0.0	0.5736	1.1	0.5736	1.204	0.7891
119	0.0	1.622	1.416	1.622	1.462	2.174
120	0.0	0.4661	0.659	0.4661	0.8557	0.6267
121	0.0	0.7285	1.104	0.7285	1.219	0.9656
122	0.0	0.518	0.4208	0.518	0.532	0.7096
123	0.0	1.358	0.8501	1.358	1.05	1.337
124	0.0	0.5464	0.5797	0.5464	0.8642	0.8205
125	0.0	1.132	0.6452	1.132	0.6946	1.216
126	0.0	0.7691	1.187	0.7691	1.171	0.8116
127	0.0	1.182	0.4994	1.182	0.5094	1.179
128	0.0	0.9609	0.5464	0.9609	0.6225	1.269
129	0.0	1.281	0.5228	1.281	0.5693	1.443
130	0.0	1.018	1.05	1.018	1.183	1.106
131	0.0	1.109	0.5414	1.109	0.683	1.376
132	0.0	0.7	0.5047	0.7	0.6009	0.9142
133	0.0	0.3399	0.5899	0.3399	0.7931	0.4445
134	0.0	0.9433	0.8524	0.9433	0.9904	1.223
135	0.0	1.105	0.4576	1.105	0.5012	1.208
136	0.0	0.4209	0.5494	0.4209	0.6215	0.5969
137	0.0	0.6982	0.5639	0.6982	0.6557	1.536
138	0.0	1.055	0.8083	1.055	0.9067	1.06
139	0.0	1.123	0.525	1.123	0.6244	1.333
140	0.0	0.4278	0.5951	0.4278	0.7358	0.5703
141	0.0	0.5746	0.682	0.5746	1.015	0.8322
142	0.0	0.7771	1.427	0.7771	1.653	0.9165
143	0.0	0.4745	0.5526	0.4745	0.708	0.6516
