Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	6.609	5.367	7.251	4.575	6.609
2	0.0	3.991	5.815	4.282	5.704	3.991
3	0.0	5.45	5.958	7.047	4.346	5.45
4	0.0	2.63	7.189	2.974	6.521	2.63
5	0.0	5.605	7.38	7.314	5.989	5.605
6	0.0	3.669	4.431	3.491	3.926	3.669
7	0.0	4.912	7.775	7.288	5.904	4.912
8	0.0	4.635	4.491	4.598	4.336	4.635
9	0.0	1.961	4.415	2.158	3.931	1.961
10	0.0	5.41	4.822	6.004	4.66	5.41
11	0.0	2.982	2.482	2.982	3.227	2.982
12	0.0	5.207	3.915	5.34	4.28	5.207
13	0.0	3.558	2.626	2.805	2.265	3.558
14	0.0	3.938	3.159	3.824	3.355	3.938
15	0.0	1.972	2.077	1.968	2.051	1.972
16	0.0	4.24	3.524	3.887	3.407	4.24
17	0.0	3.195	3.007	3.074	3.189	3.195
18	0.0	3.714	4.003	4.555	3.366	3.714
19	0.0	2.495	2.68	2.671	2.723	2.495
20	0.0	3.468	4.144	4.028	3.497	3.468
21	0.0	2.71	1.983	2.849	2.131	2.71
22	0.0	3.103	2.97	2.714	3.615	3.103
23	0.0	2.944	2.658	3.07	2.952	2.944
24	0.0	2.511	2.148	2.6	2.405	2.511
25	0.0	2.128	1.938	2.062	2.187	2.128
26	0.0	1.902	1.833	1.603	2.053	1.902
27	0.0	2.21	1.886	1.61	2.291	2.21
28	0.0	2.124	1.598	1.782	2.106	2.124
29	0.0	1.919	1.628	1.544	2.038	1.919
30	0.0	2.251	1.191	1.85	1.49	2.251
31	0.0	3.033	2.675	2.515	3.335	3.033
32	0.0	1.615	0.9497	1.338	1.055	1.615
33	0.0	1.657	1.027	1.269	1.146	1.657
34	0.0	2.19	1.252	1.889	1.497	2.19
35	0.0	2.958	2.148	2.399	2.429	2.958
36	0.0	1.56	1.779	1.388	2.246	1.56
37	0.0	1.764	2.268	1.379	2.641	1.764
38	0.0	1.998	1.754	1.764	1.888	1.998
39	0.0	1.414	1.227	1.251	1.315	1.414
40	0.0	1.415	1.194	1.337	1.355	1.415
41	0.0	2.474	1.23	2.226	1.5	2.474
42	0.0	1.076	1.058	0.9692	1.232	1.076
43	0.0	0.7937	1.834	0.7765	1.9	0.7937
44	0.0	1.706	1.381	1.405	1.63	1.706
45	0.0	0.9526	0.9	0.8736	0.9723	0.9526
46	0.0	1.096	1.22	0.9794	1.071	1.096
47	0.0	1.435	1.904	1.301	1.938	1.435
48	0.0	1.504	1.48	1.123	1.407	1.504
49	0.0	1.432	1.335	1.165	1.59	1.432
50	0.0	2.301	1.626	2.083	1.484	2.301
51	0.0	1.92	0.8223	1.846	0.8004	1.92
52	0.0	1.784	1.554	1.792	1.666	1.784
53	0.0	1.903	0.9695	1.803	0.9822	1.903
54	0.0	1.643	0.9053	1.663	0.7892	1.643
55	0.0	0.8088	1.575	0.8645	1.584	0.8088
56	0.0	0.7749	1.294	0.8702	1.16	0.7749
57	0.0	0.9683	1.269	1.084	0.9942	0.9683
58	0.0	1.382	0.8456	1.507	0.7175	1.382
59	0.0	1.14	0.8943	1.204	0.7944	1.14
60	0.0	0.775	0.8859	0.868	0.8214	0.775
61	0.0	1.753	1.897	1.967	1.696	1.753
62	0.0	1.77	1.864	1.662	1.698	1.77
63	0.0	1.74	0.9033	1.857	0.6879	1.74
64	0.0	1.505	1.985	1.488	1.731	1.505
65	0.0	0.8288	1.075	0.8162	0.9042	0.8288
66	0.0	1.492	1.743	1.368	1.661	1.492
67	0.0	0.7879	1.117	0.979	0.9229	0.7879
68	0.0	1.398	1.916	1.528	2.028	1.398
69	0.0	1.277	1.276	1.513	0.9663	1.277
70	0.0	1.202	1.014	1.165	1.135	1.202
71	0.0	1.525	1.794	1.537	1.681	1.525
72	0.0	0.725	1.057	0.8155	0.9308	0.725
73	0.0	0.776	1.446	0.8301	1.437	0.776
74	0.0	1.968	1.405	2.071	1.364	1.968
75	0.0	0.854	1.097	1.006	0.8325	0.854
76	0.0	1.337	1.466	1.506	1.189	1.337
77	0.0	0.7243	1.11	0.7686	0.9444	0.7243
78	0.0	0.6443	0.9232	0.6606	0.7565	0.6443
79	0.0	1.008	1.117	0.9492	1.048	1.008
80	0.0	1.181	1.478	1.307	1.329	1.181
81	0.0	1.617	1.538	1.837	1.488	1.617
82	0.0	1.201	0.7815	1.056	0.671	1.201
