Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	1.481	2.67	4.743	3.027	4.747
2	0.0	1.136	2.432	3.142	2.562	2.937
3	0.0	1.577	5.767	6.289	5.291	5.868
4	0.0	0.8106	6.01	2.364	5.944	2.201
5	0.0	1.696	6.602	5.149	5.441	4.877
6	0.0	0.8835	2.418	1.875	2.922	1.976
7	0.0	0.9612	1.67	2.091	1.549	3.16
8	0.0	1.152	2.755	2.892	2.918	2.822
9	0.0	0.6496	2.179	1.448	2.369	1.522
10	0.0	0.9582	1.663	2.15	1.836	2.498
11	0.0	0.9862	2.175	2.167	2.869	2.347
12	0.0	1.047	1.883	2.18	2.132	2.662
13	0.0	1.023	2.245	2.313	3.315	3.835
14	0.0	0.8317	2.814	1.695	3.551	2.307
15	0.0	0.9398	1.536	1.698	1.472	2.372
16	0.0	1.575	2.4	3.557	2.835	5.127
17	0.0	0.5838	1.36	0.9574	1.43	1.073
18	0.0	1.371	1.124	3.098	1.244	4.021
19	0.0	0.969	1.959	1.766	2.197	1.935
20	0.0	1.542	2.409	3.7	3.447	4.719
21	0.0	0.7353	1.477	1.431	1.647	1.575
22	0.0	1.081	1.988	2.037	2.548	2.507
23	0.0	0.8217	1.939	1.47	2.209	1.816
24	0.0	1.073	2.002	1.97	2.49	2.272
25	0.0	0.8944	1.734	1.913	2.122	1.907
26	0.0	1.056	1.713	2.31	2.022	2.725
27	0.0	0.9255	1.755	1.74	1.864	1.968
28	0.0	0.6874	1.513	1.118	2.193	1.419
29	0.0	0.8634	1.36	1.466	1.704	1.861
30	0.0	0.7345	1.013	1.196	1.149	1.6
31	0.0	0.875	1.769	1.675	2.037	2.179
32	0.0	0.7589	0.7196	1.322	0.7188	1.647
33	0.0	0.6851	0.9315	1.089	0.9524	1.482
34	0.0	0.8068	0.8451	1.6	0.9299	1.695
35	0.0	0.7428	1.533	1.609	1.628	1.958
36	0.0	0.8293	1.242	1.421	1.348	1.728
37	0.0	0.6246	2.085	0.9921	2.626	1.238
38	0.0	0.9919	1.563	1.8	2.131	2.766
39	0.0	0.8897	1.291	1.457	1.586	1.922
40	0.0	0.8289	0.9972	1.672	1.023	1.536
41	0.0	0.7366	1.252	1.356	1.233	1.547
42	0.0	0.5904	0.8608	0.9553	1.077	1.027
43	0.0	0.7174	1.209	1.452	1.247	1.362
44	0.0	0.7451	1.195	1.251	1.508	1.585
45	0.0	0.5975	0.9628	0.963	1.296	1.379
46	0.0	0.738	1.155	1.383	1.499	1.508
47	0.0	0.5302	1.528	0.8794	1.535	1.055
48	0.0	0.4275	0.7964	0.676	0.7914	0.8752
49	0.0	0.87	1.307	1.553	1.737	2.542
50	0.0	0.8235	1.147	1.468	1.088	1.72
51	0.0	0.8538	1.901	1.728	1.987	1.91
52	0.0	0.7973	1.353	1.549	1.786	1.402
53	0.0	0.8371	1.946	1.577	2.34	1.698
