Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	1.499	2.811	5.294	3.196	5.298
2	0.0	1.217	2.182	3.312	2.397	3.054
3	0.0	1.547	5.236	5.928	5.142	5.559
4	0.0	0.8266	6.699	2.759	6.541	2.293
5	0.0	1.701	7.548	6.097	5.827	4.889
6	0.0	0.9178	2.251	1.965	2.452	2.241
7	0.0	1.054	1.633	2.385	1.623	3.548
8	0.0	1.16	2.484	2.922	2.631	2.833
9	0.0	0.6801	2.796	1.47	3.207	1.589
10	0.0	0.9534	1.729	2.095	1.92	2.361
11	0.0	0.9721	2.042	2.037	2.33	2.183
12	0.0	1.097	1.817	2.394	2.092	2.719
13	0.0	1.044	2.431	2.177	2.858	3.741
14	0.0	0.9148	3.032	1.949	4.071	2.37
15	0.0	1.036	1.533	1.998	1.65	2.661
16	0.0	1.65	2.432	4.182	2.735	5.05
17	0.0	0.6035	1.295	1.048	1.305	1.087
18	0.0	1.443	1.197	3.443	1.216	4.116
19	0.0	0.932	1.959	1.793	1.918	1.839
20	0.0	1.504	3.761	3.432	4.211	4.158
21	0.0	0.7347	1.57	1.378	1.786	1.56
22	0.0	1.074	2.046	1.968	2.596	2.444
23	0.0	0.8808	1.885	1.605	2.002	1.892
24	0.0	1.136	2.12	2.234	2.574	2.312
25	0.0	0.8367	1.715	1.692	1.894	1.634
26	0.0	1.056	1.91	2.351	2.159	2.489
27	0.0	0.8963	1.56	1.714	1.662	1.749
28	0.0	0.7668	1.61	1.283	2.313	1.55
29	0.0	1.007	1.658	1.651	2.305	2.266
30	0.0	0.7296	1.015	1.189	1.05	1.482
31	0.0	0.8536	1.933	1.614	2.326	1.922
32	0.0	0.8464	0.7792	1.552	0.7782	1.894
33	0.0	0.7335	0.9023	1.141	0.8884	1.494
34	0.0	0.9405	0.9284	1.738	0.9896	2.26
35	0.0	0.6977	1.599	1.43	1.777	1.6
36	0.0	0.7513	1.308	1.32	1.274	1.393
37	0.0	0.936	2.156	1.585	2.596	2.266
38	0.0	1.082	1.659	2.302	2.197	3.218
39	0.0	0.8962	1.251	1.468	1.709	1.871
40	0.0	0.8724	1.117	1.899	1.085	1.658
41	0.0	0.7474	1.215	1.391	1.144	1.535
42	0.0	0.5727	0.8005	0.9186	0.7552	0.9767
43	0.0	0.797	1.253	1.622	1.243	1.616
44	0.0	0.8616	1.23	1.431	1.364	1.837
45	0.0	0.5009	1.061	0.8413	1.366	0.8822
46	0.0	0.8078	1.159	1.484	1.475	1.666
47	0.0	0.5462	1.8	0.9334	1.576	1.001
48	0.0	0.5229	0.8923	0.7835	0.7881	1.109
49	0.0	0.606	1.383	1.048	1.783	1.344
50	0.0	0.8987	1.172	1.691	1.026	1.929
51	0.0	0.8378	1.708	1.985	1.702	1.617
52	0.0	0.7972	1.179	1.659	1.814	1.509
53	0.0	0.8703	1.902	1.761	2.159	1.723
54	0.0	0.671	0.8925	1.206	0.77	1.269
55	0.0	0.4877	1.388	0.8118	1.54	0.7678
56	0.0	0.8278	1.995	1.734	1.795	1.599
57	0.0	0.6043	1.182	1.027	1.18	0.9863
58	0.0	0.7112	0.7797	1.238	0.7428	1.294
59	0.0	0.6116	1.653	1.129	1.42	1.13
60	0.0	0.6419	1.153	1.089	1.122	1.138
61	0.0	0.696	2.132	1.341	2.144	1.264
62	0.0	0.6713	1.024	1.196	1.111	1.213
63	0.0	0.883	1.078	1.737	1.098	1.716
64	0.0	0.7299	1.331	1.408	1.332	1.461
65	0.0	0.4276	1.255	0.7294	1.19	0.7607
66	0.0	0.7469	1.599	1.333	1.533	1.829
67	0.0	0.7008	1.511	1.283	1.439	1.292
68	0.0	0.6361	1.762	1.156	2.3	1.24
69	0.0	0.5441	0.8451	0.8248	0.8135	1.065
70	0.0	0.6372	0.5371	1.118	0.7909	1.271
71	0.0	0.8549	1.019	1.389	0.9942	1.783
72	0.0	0.5073	0.8873	0.784	0.9702	0.9161
73	0.0	0.5935	0.7993	1.157	0.7282	1.021
74	0.0	0.6372	1.518	1.57	1.698	1.909
75	0.0	0.5578	1.201	1.005	1.061	1.142
76	0.0	0.6721	1.131	1.178	1.109	1.126
77	0.0	0.4536	0.7615	0.7052	0.7277	0.8696
78	0.0	0.7682	1.054	1.61	1.017	1.47
79	0.0	0.3699	1.052	0.7055	1.063	0.7099
80	0.0	0.5537	1.408	1.065	1.267	0.8489
81	0.0	0.7497	0.9995	1.454	1.165	1.356
82	0.0	0.3995	0.7316	0.6759	0.7522	0.7175
