Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	5.185	0.0	5.185	7.398	4.533	6.518
2	5.847	0.0	5.847	4.039	5.544	4.105
3	5.692	0.0	5.692	7.133	3.779	5.798
4	7.005	0.0	7.005	2.769	6.52	2.707
5	6.737	0.0	6.737	6.386	5.825	5.669
6	4.204	0.0	4.204	3.104	4.036	3.518
7	7.095	0.0	7.095	4.418	5.644	4.779
8	3.194	0.0	3.194	3.064	3.929	4.129
9	3.634	0.0	3.634	1.76	4.129	2.18
10	3.566	0.0	3.566	3.426	4.452	4.719
11	2.31	0.0	2.31	2.715	3.333	3.121
12	3.104	0.0	3.104	3.481	4.16	4.863
13	2.583	0.0	2.583	2.487	2.578	4.136
14	2.315	0.0	2.315	2.409	3.309	3.782
15	1.646	0.0	1.646	1.809	2.002	2.444
16	2.203	0.0	2.203	2.003	3.18	3.14
17	2.226	0.0	2.226	2.181	3.008	3.197
18	2.413	0.0	2.413	2.369	3.442	3.409
19	2.532	0.0	2.532	2.522	3.524	3.258
20	2.157	0.0	2.157	1.902	3.023	2.683
21	2.074	0.0	2.074	2.734	3.091	4.03
22	1.587	0.0	1.587	1.949	2.333	2.719
23	2.113	0.0	2.113	2.781	3.02	3.815
24	1.81	0.0	1.81	2.45	2.608	3.534
25	2.015	0.0	2.015	2.086	3.13	3.102
26	1.858	0.0	1.858	1.117	2.657	1.472
27	1.747	0.0	1.747	1.027	2.634	1.531
28	1.06	0.0	1.06	1.062	1.385	1.46
29	1.165	0.0	1.165	1.044	1.525	1.397
30	0.8649	0.0	0.8649	1.62	1.118	2.435
31	2.547	0.0	2.547	2.271	4.173	3.504
32	0.7687	0.0	0.7687	1.014	0.9971	1.428
33	0.927	0.0	0.927	0.9573	1.126	1.598
34	1.042	0.0	1.042	1.515	1.501	2.103
35	1.759	0.0	1.759	2.213	2.45	3.315
36	1.632	0.0	1.632	1.103	2.468	1.6
37	1.777	0.0	1.777	1.205	2.43	1.82
38	1.353	0.0	1.353	1.31	1.959	1.678
39	0.917	0.0	0.917	0.922	1.252	1.283
40	1.139	0.0	1.139	1.022	1.903	1.359
41	1.024	0.0	1.024	1.833	1.769	2.586
42	0.9188	0.0	0.9188	0.8222	1.403	1.124
43	1.561	0.0	1.561	0.7069	1.891	0.8122
44	1.038	0.0	1.038	1.046	1.603	1.58
45	0.76	0.0	0.76	0.6559	1.195	1.012
46	0.9928	0.0	0.9928	0.749	1.336	1.112
47	1.669	0.0	1.669	1.034	2.013	1.607
48	1.34	0.0	1.34	0.888	1.796	1.564
49	1.166	0.0	1.166	0.8671	1.834	1.456
50	1.466	0.0	1.466	1.943	1.711	2.684
51	0.6665	0.0	0.6665	1.758	0.8773	2.312
52	1.138	0.0	1.138	1.46	1.668	1.849
