Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	4.825	0.0	5.06	7.509	4.825	7.501
2	5.465	0.0	5.973	4.187	5.465	3.829
3	4.027	0.0	5.779	7.258	4.027	5.8
4	6.383	0.0	7.369	3.12	6.383	2.9
5	5.564	0.0	6.926	7.266	5.564	5.443
6	3.92	0.0	4.473	3.078	3.92	3.292
7	5.36	0.0	7.102	6.916	5.36	4.433
8	4.118	0.0	4.181	4.21	4.118	4.266
9	3.772	0.0	4.156	2.3	3.772	2.138
10	4.605	0.0	4.515	4.323	4.605	4.459
11	3.141	0.0	2.422	2.759	3.141	2.858
12	4.222	0.0	3.792	5.045	4.222	5.207
13	2.122	0.0	2.307	2.429	2.122	3.249
14	3.191	0.0	3.057	3.385	3.191	3.785
15	2.082	0.0	2.114	1.867	2.082	1.803
16	3.494	0.0	3.521	4.057	3.494	4.258
17	3.01	0.0	2.982	2.825	3.01	3.067
18	3.561	0.0	3.794	4.755	3.561	3.69
19	2.441	0.0	2.509	2.503	2.441	2.391
20	3.49	0.0	3.933	3.687	3.49	3.292
21	2.019	0.0	2.001	2.702	2.019	2.796
22	3.335	0.0	3.072	2.339	3.335	2.712
23	2.911	0.0	2.682	3.01	2.911	2.845
24	2.579	0.0	2.268	2.389	2.579	2.567
25	1.861	0.0	1.746	2.159	1.861	2.373
26	2.373	0.0	2.118	1.553	2.373	1.851
27	2.366	0.0	1.953	1.549	2.366	2.003
28	2.323	0.0	1.805	1.576	2.323	1.949
29	1.926	0.0	1.494	1.622	1.926	2.054
30	1.578	0.0	1.249	1.921	1.578	2.327
31	3.159	0.0	2.533	2.616	3.159	3.238
32	1.044	0.0	0.9566	1.331	1.044	1.556
33	1.182	0.0	1.015	1.198	1.182	1.592
34	1.503	0.0	1.264	1.903	1.503	2.244
35	2.629	0.0	2.129	2.511	2.629	3.121
36	2.447	0.0	1.962	1.35	2.447	1.554
37	2.985	0.0	2.383	1.421	2.985	1.831
38	2.107	0.0	1.858	1.779	2.107	2.13
39	1.315	0.0	1.191	1.225	1.315	1.382
40	1.307	0.0	1.194	1.258	1.307	1.415
41	1.383	0.0	1.142	2.24	1.383	2.6
42	1.218	0.0	1.03	0.9842	1.218	1.101
43	1.897	0.0	1.793	0.7949	1.897	0.8028
44	1.693	0.0	1.414	1.354	1.693	1.702
45	1.079	0.0	0.944	0.8589	1.079	0.9187
46	1.112	0.0	1.153	0.9553	1.112	1.022
47	2.082	0.0	2.057	1.341	2.082	1.537
48	1.556	0.0	1.604	1.074	1.556	1.397
49	1.612	0.0	1.333	1.124	1.612	1.45
50	1.599	0.0	1.66	2.082	1.599	2.339
51	0.8896	0.0	0.8434	1.816	0.8896	1.957
52	1.795	0.0	1.604	1.902	1.795	1.898
53	0.9473	0.0	0.9344	1.789	0.9473	1.909
54	0.7922	0.0	0.8609	1.754	0.7922	1.817
55	1.694	0.0	1.621	0.8486	1.694	0.8057
56	1.229	0.0	1.325	0.9347	1.229	0.8672
57	1.04	0.0	1.397	1.077	1.04	0.9494
58	0.7405	0.0	0.8531	1.681	0.7405	1.513
59	0.771	0.0	0.8835	1.243	0.771	1.213
60	0.8199	0.0	0.9047	0.9433	0.8199	0.834
61	1.92	0.0	1.973	1.889	1.92	1.782
62	1.705	0.0	1.853	1.64	1.705	1.86
63	0.6875	0.0	0.878	1.912	0.6875	1.762
64	1.884	0.0	2.121	1.488	1.884	1.553
65	0.9145	0.0	1.111	0.7991	0.9145	0.8151
66	1.618	0.0	1.685	1.381	1.618	1.536
67	0.9062	0.0	1.045	0.9179	0.9062	0.7616
68	2.115	0.0	1.992	1.491	2.115	1.376
69	0.9055	0.0	1.082	1.412	0.9055	1.271
