Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	1.009	0.0	2.611	4.666	3.05	4.001
2	1.068	0.0	2.358	3.452	2.446	3.067
3	1.811	0.0	5.565	6.552	5.033	5.117
4	1.893	0.0	6.693	2.245	6.297	2.294
5	1.723	0.0	6.819	5.319	5.388	5.134
6	0.9887	0.0	2.137	1.918	2.373	2.054
7	0.8743	0.0	1.785	2.065	1.849	2.592
8	1.062	0.0	2.375	2.801	2.404	2.344
9	1.033	0.0	2.176	1.404	2.57	1.47
10	0.8791	0.0	1.696	1.899	1.884	1.95
11	1.013	0.0	2.097	2.077	2.753	2.265
12	0.9982	0.0	1.884	1.993	2.273	2.618
13	0.9964	0.0	2.103	2.031	3.047	3.49
14	1.283	0.0	2.745	1.791	3.771	2.342
15	0.7084	0.0	1.371	1.827	1.382	2.529
16	1.176	0.0	2.622	2.887	2.85	4.396
17	0.6824	0.0	1.239	0.9538	1.322	1.069
18	0.6188	0.0	1.137	2.902	1.274	3.718
19	1.027	0.0	2.015	1.595	2.111	1.701
20	1.511	0.0	3.593	3.483	4.725	4.26
21	0.8182	0.0	1.464	1.403	1.682	1.506
22	1.075	0.0	2.002	1.677	2.7	2.086
23	0.8625	0.0	1.607	1.472	1.836	1.881
24	1.087	0.0	1.966	1.742	2.535	2.002
25	0.8969	0.0	1.669	1.555	1.894	1.562
26	0.9344	0.0	1.687	2.167	2.031	2.722
27	0.8103	0.0	1.489	1.647	1.558	1.929
28	0.9275	0.0	1.483	1.175	2.171	1.54
29	1.062	0.0	1.804	1.509	2.722	2.135
30	0.6001	0.0	0.9625	1.139	1.101	1.691
31	0.9128	0.0	1.731	1.604	2.089	2.069
32	0.4675	0.0	0.7209	1.469	0.7678	2.04
33	0.5484	0.0	0.8759	1.058	0.9315	1.499
34	0.522	0.0	0.8262	1.581	0.914	2.069
35	0.8164	0.0	1.54	1.65	1.712	2.107
36	0.7411	0.0	1.248	1.516	1.465	2.305
37	1.086	0.0	2.052	1.48	2.606	2.149
38	0.8442	0.0	1.495	1.903	2.288	2.36
39	0.9639	0.0	1.589	1.636	2.273	2.464
40	0.5836	0.0	1.015	1.613	1.069	1.624
41	0.6794	0.0	1.217	1.334	1.335	1.688
42	0.4521	0.0	0.6965	1.006	0.7436	1.196
43	0.6884	0.0	1.171	1.348	1.26	1.49
44	0.6815	0.0	1.066	1.296	1.325	1.709
45	0.5308	0.0	0.7979	0.7223	1.068	0.9919
46	0.6526	0.0	1.096	1.418	1.472	1.639
47	0.8043	0.0	1.567	0.8358	1.51	1.202
48	0.4892	0.0	0.7737	0.6214	0.8085	0.852
49	0.7318	0.0	1.195	1.104	1.641	1.666
50	0.6204	0.0	1.069	1.432	1.034	1.698
51	0.8818	0.0	1.776	1.804	1.761	1.9
52	0.7071	0.0	1.247	1.47	1.875	1.369
53	0.9204	0.0	1.908	1.787	2.102	1.845
54	0.4931	0.0	0.843	1.184	0.8287	1.357
55	0.7252	0.0	1.19	0.7578	1.534	0.8054
56	0.9392	0.0	1.958	1.554	1.932	1.547
57	0.6305	0.0	1.029	0.8689	1.107	0.973
58	0.4876	0.0	0.7352	1.192	0.9359	1.341
59	0.7675	0.0	1.513	0.9931	1.424	1.124
60	0.6368	0.0	1.147	1.099	1.261	1.24
61	0.9257	0.0	1.869	1.315	2.025	1.36
62	0.6042	0.0	0.9664	1.193	1.126	1.33
63	0.6198	0.0	1.021	1.702	1.211	1.642
64	0.6879	0.0	1.322	1.311	1.355	1.471
65	0.6562	0.0	1.152	0.6526	1.171	0.7784
66	0.8676	0.0	1.713	1.135	1.856	1.65
67	0.7542	0.0	1.36	1.106	1.384	1.214
68	0.9964	0.0	1.74	1.258	2.266	1.539
69	0.4902	0.0	0.7542	0.7269	0.7883	1.085
70	0.3348	0.0	0.5281	0.9571	0.9267	1.193
71	0.5985	0.0	0.9872	1.366	1.07	1.771
72	0.5309	0.0	0.7954	0.7739	1.006	1.113
73	0.4206	0.0	0.7077	0.8303	0.7569	0.8949
74	0.7311	0.0	1.322	1.63	1.544	2.058
75	0.6158	0.0	1.025	0.924	1.088	1.256
76	0.6582	0.0	1.128	0.8889	1.249	0.9869
77	0.4148	0.0	0.6746	0.6042	0.7444	0.7443
78	0.5822	0.0	1.013	1.422	1.11	1.499
79	0.5648	0.0	0.9507	0.5995	1.051	0.7558
80	0.6306	0.0	1.237	0.9901	1.229	0.8964
81	0.5927	0.0	0.9301	1.323	1.177	1.425
82	0.4507	0.0	0.7234	0.6027	0.8056	0.7762
83	0.6768	0.0	1.189	1.225	1.209	1.229
84	0.6531	0.0	1.111	1.305	1.086	1.241
85	0.8263	0.0	1.685	1.477	1.594	2.083
86	0.4486	0.0	0.7574	0.7796	0.8211	0.9108
87	0.807	0.0	1.514	1.349	1.383	1.251
88	0.703	0.0	1.253	1.348	1.33	1.522
89	0.5252	0.0	0.9135	0.8301	1.021	0.9501
90	0.8515	0.0	1.642	0.8186	1.892	0.8349
91	0.7055	0.0	1.414	1.745	1.365	1.844
92	0.6181	0.0	1.056	1.008	1.186	1.413
93	0.4195	0.0	0.6057	0.4899	0.7459	0.6409
94	0.6207	0.0	1.085	0.7773	1.073	0.7813
95	0.4143	0.0	0.6351	0.5935	0.6598	0.5962
96	0.4688	0.0	0.7392	1.046	0.8969	1.023
97	0.687	0.0	1.271	1.627	1.381	1.493
98	0.2836	0.0	0.446	0.2614	0.5311	0.2724
99	0.7496	0.0	1.441	0.6386	1.362	0.655
100	0.7819	0.0	1.487	1.192	1.324	1.34
101	0.694	0.0	1.333	1.609	1.203	1.899
102	0.5121	0.0	0.8694	1.011	0.8333	0.9053
103	0.4781	0.0	0.9143	0.8785	1.033	0.9549
104	0.8612	0.0	1.498	1.426	1.96	1.6
105	0.2874	0.0	0.4429	0.594	0.487	0.7207
106	0.5854	0.0	0.9623	1.314	1.137	1.395
107	0.5073	0.0	0.7949	1.079	1.07	1.345
108	0.3322	0.0	0.4844	0.5969	0.459	0.6659
109	0.316	0.0	0.464	0.443	0.5152	0.5378
110	0.5258	0.0	0.8417	1.295	0.9411	1.263
