Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	1.025	0.0	3.017	5.205	3.105	4.758
2	1.032	0.0	2.127	3.093	2.373	3.043
3	1.772	0.0	5.64	5.938	5.203	4.992
4	1.876	0.0	6.684	2.393	6.409	2.062
5	1.764	0.0	7.572	4.918	5.764	4.936
6	0.9958	0.0	2.105	2.186	2.371	2.316
7	0.8334	0.0	1.764	2.074	1.702	3.349
8	1.107	0.0	2.565	2.546	2.659	2.742
9	1.064	0.0	2.349	1.629	2.559	1.628
10	0.8755	0.0	1.662	1.997	1.911	2.259
11	1.05	0.0	2.183	1.999	2.739	2.132
12	1.024	0.0	1.913	2.123	2.179	2.534
13	1.002	0.0	2.206	1.833	2.704	2.961
14	1.235	0.0	2.688	1.877	3.441	2.342
15	0.7495	0.0	1.522	1.989	1.498	2.649
16	1.193	0.0	2.811	2.732	2.821	4.119
17	0.6863	0.0	1.332	0.9443	1.335	1.019
18	0.6465	0.0	1.292	2.999	1.31	3.973
19	0.9997	0.0	2.066	1.907	1.937	2.146
20	1.436	0.0	3.547	3.526	3.791	4.281
21	0.7846	0.0	1.422	1.28	1.546	1.439
22	1.081	0.0	1.982	1.986	2.506	2.503
23	0.8958	0.0	1.766	1.594	1.855	1.819
24	1.157	0.0	2.146	2.162	2.656	2.066
25	0.9122	0.0	1.728	1.629	1.961	1.575
26	0.9725	0.0	1.759	2.266	2.053	2.542
27	0.8117	0.0	1.481	1.732	1.562	2.03
28	1.036	0.0	1.681	1.242	2.271	1.636
29	0.9211	0.0	1.462	1.665	1.91	2.255
30	0.6394	0.0	1.026	1.287	1.163	1.674
31	0.9702	0.0	1.847	1.591	2.193	2.062
32	0.4853	0.0	0.7834	1.417	0.7899	1.717
33	0.5895	0.0	0.9635	1.08	1.072	1.392
34	0.5268	0.0	0.8636	1.697	0.8899	2.074
35	0.8404	0.0	1.572	1.559	1.766	2.062
36	0.7512	0.0	1.286	1.496	1.41	1.89
37	0.9674	0.0	1.975	1.445	2.122	2.001
38	0.9101	0.0	1.637	2.083	2.27	2.93
39	0.7012	0.0	1.164	1.375	1.168	1.743
40	0.5802	0.0	1.047	1.712	1.029	1.724
41	0.7305	0.0	1.334	1.278	1.482	1.358
42	0.6232	0.0	0.9789	0.9441	1.256	0.9967
43	0.7153	0.0	1.299	1.591	1.305	1.467
44	0.7043	0.0	1.122	1.556	1.316	2.159
45	0.6	0.0	0.9364	0.8123	1.17	0.8601
46	0.7549	0.0	1.412	1.477	1.698	1.524
47	0.7981	0.0	1.685	0.9874	1.498	1.097
48	0.5146	0.0	0.8848	0.6163	0.8326	0.6755
49	0.7894	0.0	1.298	0.9678	1.663	1.147
50	0.6378	0.0	1.144	1.486	1.038	1.627
51	0.8415	0.0	1.704	1.739	1.625	1.775
