Step	Loss
1	5.759
2	4.3028
3	2.674
4	4.5876
5	5.3748
6	4.2955
7	3.2895
8	4.2785
9	4.9928
10	1.3946
11	3.2571
12	4.8264
13	4.6467
14	2.8937
15	0.9718
16	4.8767
17	4.1369
18	1.9714
19	1.0464
20	4.7339
21	4.1272
22	5.1141
23	4.4986
24	1.3583
25	4.6559
26	7.8731
27	5.1555
28	3.2297
29	2.9292
30	1.8318
31	5.1526
32	3.7927
33	4.656
34	4.6388
35	0.4357
36	4.7917
37	4.2734
38	3.4643
39	0.1736
40	4.0627
41	4.4905
42	1.3658
43	3.253
44	0.6408
45	4.2854
46	3.8406
47	3.3448
48	4.4013
49	4.9253
50	3.9515
51	3.7711
52	0.9882
53	6.7805
54	4.3869
55	2.3408
56	4.0666
57	3.7909
58	2.991
59	4.4315
60	4.1721
61	4.003
62	0.8551
63	3.0384
64	2.6682
65	4.7206
66	3.8105
67	4.6087
68	1.4703
69	2.668
70	1.5866
71	3.3752
72	1.8111
73	1.5323
74	4.2293
75	4.9254
76	3.5756
77	5.5616
78	3.8784
79	0.8787
80	4.3525
81	3.2546
82	3.1986
83	4.2391
84	2.5779
85	4.3968
86	4.2996
87	4.3834
88	2.7472
89	2.2312
90	4.9129
91	2.5314
92	3.5231
93	4.0605
94	1.9678
95	3.823
96	1.4514
97	4.9356
98	2.7114
99	2.1972
100	5.442
101	5.1766
102	4.3595
103	1.2569
104	3.9904
105	5.1905
106	2.5765
107	1.3526
108	4.4624
109	3.5415
110	3.6501
111	2.9073
112	3.9318
113	2.3658
114	1.2361
115	3.0091
116	4.2479
117	3.877
118	2.5198
119	0.2818
120	4.6847
121	3.1768
122	1.0047
123	1.1821
124	3.9092
125	3.8984
126	4.7795
127	4.2299
128	1.3529
129	4.3942
130	2.7462
131	4.6273
132	2.8761
133	2.4127
134	1.4855
135	3.4454
136	3.507
137	4.42
138	4.4536
139	0.2965
140	5.0292
141	3.982
142	3.2606
143	0.1585
144	4.4654
145	4.0589
146	1.2039
147	3.2945
148	0.4758
149	3.9337
150	3.6999
151	2.8458
152	4.4267
153	4.5053
154	3.6086
155	3.5875
156	0.7812
157	7.2783
158	4.1781
159	2.0805
160	3.989
161	3.5066
162	2.8888
163	4.1266
164	3.8999
165	3.8166
166	0.7851
167	2.4153
168	2.4817
169	4.3241
170	3.7061
171	4.4089
172	0.9011
173	2.3783
174	1.0277
175	2.5188
176	1.746
177	1.1808
178	3.9902
179	3.9817
180	3.2427
181	5.0123
182	3.6391
183	0.7408
184	4.193
185	2.9904
186	3.0549
187	4.1617
188	2.2612
189	4.097
190	4.0582
191	4.1845
192	2.6379
193	2.3779
194	4.7324
195	2.4992
196	3.1324
197	3.5806
198	1.7339
199	3.7151
200	1.7065
201	4.9348
202	2.3928
203	1.7605
204	5.1995
205	4.4802
206	4.2275
207	1.0863
208	3.8088
209	4.7143
210	2.9596
211	1.0428
212	4.3313
213	3.2698
214	3.4459
215	2.4079
216	3.7627
217	2.3646
218	0.8832
219	2.8524
220	4.3945
221	3.7851
222	2.3449
223	0.3843
224	4.5181
225	3.0974
226	0.481
227	1.1763
228	3.7165
229	3.8746
230	4.7216
231	4.2049
232	1.4094
233	4.2683
234	1.3491
235	4.4667
236	2.8097
237	2.1717
238	1.4468
239	2.9556
240	3.2818
241	4.1075
242	4.253
243	0.2355
244	4.9564
245	3.9127
246	3.0062
247	0.206
248	4.1401
249	3.8961
250	1.2075
251	3.1766
252	0.3929
253	4.0494
254	3.6678
255	2.4898
256	4.2514
257	4.2577
258	3.7041
259	3.5104
260	0.7444
261	4.9495
262	4.0143
263	2.0493
264	3.7465
265	3.3691
266	2.7014
267	4.1467
268	3.8221
269	3.6942
270	0.8554
271	2.1009
272	2.4614
273	4.2565
274	3.6258
275	4.2022
276	0.8123
277	2.1104
278	1.0556
279	2.7475
280	1.653
281	1.2408
282	4.0312
283	3.6319
284	3.1173
285	4.906
286	3.5662
287	0.8317
288	3.9919
289	2.778
290	2.9131
291	3.8551
292	2.1652
293	4.014
294	3.9328
295	4.1036
296	2.1601
297	1.9477
298	4.4966
299	2.2604
300	2.9625
301	3.6299
302	1.6571
303	3.6559
304	1.0908
305	4.8635
306	2.466
307	1.5016
308	4.5466
309	4.3061
310	4.2655
311	0.9866
312	3.7547
313	4.318
314	2.9383
315	0.9336
316	4.272
317	3.465
318	3.5341
319	2.2286
320	3.71
321	2.2827
322	0.8318
323	2.795
324	4.1088
325	3.679
326	2.3343
327	0.2605
328	4.4664
329	3.3575
330	0.3027
331	1.0356
332	3.6169
333	3.7217
334	4.5872
335	4.0298
336	1.0374
337	4.1693
338	1.2891
339	4.4431
340	2.5487
341	2.1278
342	1.2374
343	2.3644
344	3.2706
345	4.4105
346	4.238
347	0.1576
348	3.7858
349	3.8441
350	3.0854
351	0.1218
352	3.7731
353	3.8658
354	1.1573
355	3.0828
356	0.3984
357	3.7239
358	3.5407
359	2.1784
360	4.3958
361	4.2863
362	3.489
363	3.3555
364	0.6807
365	6.3379
366	3.9358
367	2.0515
368	3.6398
369	3.2957
370	2.4107
371	3.9707
372	3.7548
373	3.655
374	1.0262
375	2.0989
376	2.5315
377	4.128
378	3.5008
379	4.0486
380	1.038
381	1.9714
382	0.5046
383	2.1537
384	1.7826
385	1.2172
386	3.9921
387	3.7935
388	3.0607
389	4.7636
390	3.4772
391	0.9418
392	4.0133
393	2.7627
394	2.8848
395	4.0403
396	2.1904
397	3.868
398	3.8386
399	4.0684
400	2.4579
401	1.4007
402	4.5103
403	2.2317
404	3.0201
405	3.4685
406	1.4922
407	3.5919
408	0.9115
409	4.7806
410	2.4802
411	1.7667
412	4.5723
413	3.9573
414	4.0627
415	0.9575
416	3.7155
417	4.4724
418	2.7812
419	0.8325
420	4.1534
421	3.3556
422	3.3978
423	2.2265
424	3.6485
425	2.4965
426	0.8374
427	2.821
428	4.0865
429	3.5954
430	2.5362
431	0.2495
432	4.2993
433	2.7192
434	0.2954
435	1.0391
436	3.4552
437	3.6822
438	4.4563
439	4.0242
440	1.1012
441	4.0663
442	0.833
443	4.4967
444	2.6236
445	2.1297
446	1.1456
447	2.2228
448	3.2722
449	4.7036
450	4.43
451	0.1249
452	3.5874
453	3.81
454	2.9137
455	0.1333
456	4.1021
457	3.8265
458	1.1774
459	2.9055
460	0.4034
461	3.3534
462	3.519
463	2.0705
464	4.2394
465	4.0828
466	3.3394
467	3.3119
468	0.7849
469	5.3488
470	3.9079
471	2.0256
472	3.5551
473	3.2469
474	2.3725
475	3.9452
476	3.7092
477	3.5651
478	1.3604
479	2.0887
480	2.4959
481	4.0364
482	3.3905
483	4.0882
484	0.5951
485	2.3245
486	0.3842
487	1.9054
488	1.6323
489	1.1058
490	3.9423
491	3.2176
492	2.637
493	5.0656
494	3.4145
495	0.7229
496	3.858
497	2.5108
498	2.9035
499	3.9873
500	2.3282
501	3.7301
502	3.701
503	3.9937
504	2.458
505	1.7214
506	4.3504
507	2.312
508	2.8216
509	4.0357
510	1.5536
511	3.5566
512	0.7808
513	4.7771
514	2.52
515	1.4724
516	4.1896
517	3.7182
518	4.0751
519	1.2467
520	3.7284
521	4.2435
522	2.6446
523	0.8408
524	4.1582
525	3.2475
526	3.2626
527	2.0845
528	3.5861
529	1.9517
530	0.7476
531	2.6962
532	3.8998
533	3.5079
534	2.4636
535	0.2619
536	4.308
537	2.8229
538	0.2268
539	0.839
540	3.251
541	3.5959
542	4.4586
543	4.0016
544	1.2037
545	3.9472
546	0.8618
547	4.3002
548	2.5675
549	2.1396
550	1.3734
551	1.4797
552	3.0424
553	4.6067
554	4.2786
555	0.1123
556	4.2376
557	3.7277
558	2.8227
559	0.1859
560	4.0082
561	3.6998
562	0.7285
563	2.8718
564	0.3666
565	3.399
566	3.5006
567	2.1136
568	4.1792
569	4.0143
570	2.9998
571	3.2559
572	0.56
573	5.6549
574	3.9494
575	1.9402
576	3.5045
577	3.1923
578	2.3345
579	3.8611
580	3.7505
581	3.4631
582	0.9817
583	1.9628
584	2.4876
585	4.0917
586	3.4029
587	3.96
588	0.6552
589	2.0966
590	0.2621
591	1.7562
592	1.7411
593	1.0848
594	3.8283
595	3.5338
596	2.5992
597	4.6966
598	3.3979
599	0.881
600	3.8082
601	2.6177
602	2.8726
603	3.9688
604	2.274
605	3.7299
606	3.6818
607	3.8935
608	2.0813
609	1.8533
610	4.38
611	2.2067
612	2.8517
613	3.3004
614	1.4111
615	3.524
616	0.9029
617	4.6829
618	2.3977
619	1.3632
620	4.536
621	3.8605
622	4.0466
623	0.9352
624	3.7016
625	4.035
626	2.4404
627	0.8826
628	4.0689
629	3.2566
630	3.2496
631	2.048
632	3.583
633	1.9692
634	1.0404
635	2.6871
636	4.0059
637	3.5994
638	2.1515
639	0.2891
640	4.2721
641	2.839
642	0.2192
643	0.8843
644	3.4271
645	3.4892
646	4.445
647	3.8778
648	1.0947
649	3.9525
650	0.7519
651	4.3913
652	2.4999
653	2.1011
654	1.3944
655	1.6245
656	3.0693
657	3.7756
658	4.3299
659	0.1664
660	3.9474
661	3.7521
662	2.7138
663	0.0993
664	4.0244
665	3.679
666	0.8041
667	2.8064
668	0.3157
669	3.4334
670	3.4354
671	2.0439
672	4.2022
673	3.9858
674	3.2497
675	3.2605
676	0.7202
677	5.0165
678	3.8137
679	1.965
680	3.5548
681	3.2942
682	2.3
683	3.9001
684	3.7304
685	3.4183
686	1.0422
687	1.7951
688	2.52
689	3.8898
690	3.3409
691	3.9347
692	0.5248
693	1.933
694	0.237
695	2.1163
696	1.6921
697	1.2087
698	3.8131
699	3.3626
700	2.6004
701	4.638
702	3.3797
703	0.7849
704	3.8228
705	2.6176
706	2.8067
707	3.9856
708	2.2051
709	3.6532
710	3.6161
711	3.8781
712	2.2026
713	1.3648
714	4.2588
715	2.1795
716	2.666
717	2.9718
718	1.4907
719	3.4197
720	0.6788
721	4.7265
722	2.2681
723	1.092
724	3.7204
725	4.0924
726	3.9512
727	0.8764
728	3.6264
729	4.175
730	2.6529
731	0.5743
732	4.0097
733	3.1511
734	3.2412
735	1.9461
736	3.5437
737	1.6689
