Step	Loss
1	5.1984
2	3.0974
3	1.4018
4	4.5641
5	3.7836
6	4.1426
7	3.2488
8	4.1304
9	2.9983
10	0.8882
11	3.095
12	4.6003
13	4.2421
14	2.6639
15	0.3232
16	4.7956
17	3.4022
18	1.2687
19	0.9861
20	4.351
21	3.8868
22	5.0138
23	4.5333
24	1.3952
25	4.5072
26	2.081
27	4.8518
28	3.2399
29	2.2615
30	1.4381
31	4.2274
32	3.604
33	4.8425
34	3.9722
35	0.2919
36	3.5322
37	4.1219
38	3.4401
39	0.1938
40	4.6371
41	4.3317
42	1.0728
43	3.3023
44	0.4009
45	4.3778
46	3.8214
47	3.1415
48	4.3959
49	4.6908
50	3.1906
51	3.7367
52	0.8445
53	6.5772
54	4.2111
55	2.1656
56	3.8614
57	3.7131
58	2.9434
59	4.349
60	4.0042
61	4.0025
62	0.8256
63	2.4903
64	2.8859
65	4.6191
66	3.7151
67	4.6197
68	1.2689
69	2.3172
70	1.3929
71	2.8612
72	1.7715
73	1.1786
74	4.13
75	4.8934
76	3.6341
77	4.8554
78	3.813
79	0.8358
80	4.3203
81	2.7512
82	3.1157
83	4.0904
84	2.3768
85	4.344
86	4.277
87	4.3162
88	2.3811
89	2.6398
90	4.8076
91	2.4657
92	3.4253
93	3.1192
94	1.7144
95	3.8139
96	1.5078
97	5.0118
98	2.3232
99	2.137
100	4.8134
101	4.7712
102	4.4293
103	1.4917
104	3.8939
105	4.575
106	2.7177
107	1.1836
108	4.3501
109	3.6412
110	3.6837
111	2.5924
112	3.9266
113	2.4166
114	0.7903
115	2.9939
116	4.2485
117	3.8155
118	2.4693
119	0.4235
120	4.6341
121	3.1086
122	0.3392
123	0.7504
124	3.7924
125	3.8472
126	4.8098
127	4.2662
128	1.3403
129	4.3019
130	1.4608
131	4.5858
132	2.9577
133	2.1287
134	1.0658
135	2.382
136	3.4163
137	4.9735
138	4.1253
139	0.1799
140	3.9269
141	3.9519
142	3.1243
143	0.175
144	4.0873
145	4.0903
146	1.0145
147	3.0273
148	0.3854
149	3.9565
150	3.7765
151	2.6063
152	4.4272
153	4.4481
154	2.9491
155	3.5481
156	0.6747
157	6.8634
158	4.1355
159	1.9907
160	3.7475
161	3.4483
162	2.6028
163	4.1575
164	3.7746
165	3.75
166	0.9449
167	2.4203
168	2.5845
169	4.4478
170	3.677
171	4.4211
172	0.7901
173	2.4185
174	0.9791
175	1.7265
176	1.7071
177	1.2174
178	4.0654
179	4.0962
180	3.0667
181	4.9041
182	3.697
183	0.8305
184	4.1181
185	2.7529
186	3.0091
187	3.9688
188	2.3125
189	4.0381
190	3.9833
191	4.2252
192	2.2945
193	1.4907
194	4.4637
195	2.1038
196	3.1314
197	3.6831
198	1.5807
199	3.6868
200	1.0746
201	4.8654
202	2.4384
203	1.8222
204	5.0237
205	4.727
206	4.2915
207	1.0245
208	3.8287
209	4.2649
210	2.521
211	0.7659
212	4.3133
213	3.2618
214	3.4281
215	2.5378
216	3.7762
217	2.3644
218	0.8633
219	2.8017
220	4.0901
221	3.7325
222	2.3128
223	0.2485
224	4.5353
225	3.2883
226	0.2308
227	1.1069
228	3.4103
229	3.7727
230	4.6671
231	4.2358
232	0.9942
233	4.1326
234	1.2473
235	4.5612
236	2.7287
237	2.1017
238	1.5854
239	2.2485
240	3.2097
241	3.6809
242	4.0315
243	0.2066
244	3.3887
245	3.9025
246	3.0583
247	0.1911
248	4.1951
249	3.8607
250	1.6451
251	3.0559
252	0.4123
253	3.6761
254	3.6337
255	2.4043
256	4.278
257	4.2927
258	3.0357
259	3.4284
260	0.7472
261	6.874
262	4.0644
263	2.0626
264	3.6746
265	3.4162
266	2.5062
267	4.2366
268	3.8162
269	3.6599
270	0.8095
271	2.0079
272	2.6266
273	4.3421
274	3.5404
275	4.3154
276	0.7539
277	2.1701
278	0.5694
279	1.3893
280	1.3455
281	1.1182
282	3.9885
283	3.7586
284	2.9112
285	4.7574
286	3.6044
287	0.7756
288	4.0963
289	2.4319
290	3.0204
291	4.1467
292	2.3158
293	3.8905
294	3.8378
295	4.0802
296	2.2784
297	1.4826
298	4.4872
299	2.3101
300	3.0346
301	3.3519
302	1.7115
303	3.6082
304	0.8284
305	4.7718
306	2.4448
307	1.9211
308	4.1147
309	4.6635
310	4.2225
311	1.064
312	3.7888
313	4.2033
314	2.4714
315	0.7219
316	4.2459
317	3.2683
318	3.4479
319	2.3138
320	3.6524
321	2.1281
322	0.783
323	2.8245
324	3.9756
325	3.5803
326	2.2192
327	0.1762
328	4.4139
329	2.9598
330	0.1431
331	0.8882
332	3.2445
333	3.7119
334	4.5095
335	4.0047
336	1.0673
337	4.1589
338	0.3978
339	4.7452
340	2.6137
341	2.2455
342	0.9688
343	1.1537
344	3.1662
345	4.3645
346	3.9679
347	0.1807
348	3.3761
349	3.7973
350	2.9448
351	0.1724
352	4.0155
353	3.9128
354	0.8193
355	3.082
356	0.332
357	3.7128
358	3.5452
359	2.3132
360	4.401
361	4.31
362	3.0711
363	3.3726
364	0.6805
365	5.2847
366	3.9181
367	2.0591
368	3.5834
369	3.2587
370	2.5568
371	4.0487
372	3.7415
373	3.5626
374	0.7538
375	1.9978
376	2.6091
377	4.2565
378	3.4503
379	4.1664
380	0.683
381	2.2357
382	0.459
383	1.2761
384	1.5078
385	1.049
386	4.0218
387	3.5114
388	2.6159
389	4.4786
390	3.4813
391	0.7946
392	3.9597
393	2.5639
394	2.9549
395	4.0452
396	2.1702
397	3.9102
398	3.7896
399	4.0639
400	2.2553
401	1.5766
402	4.3578
403	2.6783
404	2.9976
405	3.357
406	1.5071
407	3.4931
408	0.7439
409	4.7363
410	2.4342
411	1.5887
412	4.3961
413	4.1112
414	4.1781
415	0.883
416	3.6716
417	4.1538
418	2.7388
419	0.599
420	4.1847
421	3.0362
422	3.368
423	2.1911
424	3.6056
425	1.9031
426	0.8462
427	2.6885
428	3.9625
429	3.582
430	2.2355
431	0.2555
432	4.3711
433	2.7721
434	0.1338
435	0.8741
436	3.6056
437	3.5758
438	4.4912
439	4.0198
440	1.0039
441	4.0046
442	0.2456
443	4.3352
444	2.6175
445	2.1002
446	0.9616
447	1.6656
448	3.1692
449	3.6396
450	4.3121
451	0.154
452	3.0721
453	3.8066
454	2.8337
455	0.1587
456	4.7373
457	3.7949
458	0.8018
459	2.8503
460	0.3768
461	3.2621
462	3.5696
463	2.2767
464	4.1984
465	4.1408
466	3.0135
467	3.26
468	0.6791
469	5.9311
470	3.9178
471	1.9814
472	3.5799
473	3.2253
474	2.5727
475	3.9853
476	3.6767
477	3.4703
478	0.7998
479	1.9416
480	2.619
481	4.0911
482	3.4672
483	4.1256
484	0.3992
485	1.9098
486	0.9294
487	1.201
488	1.369
489	1.1515
490	3.9042
491	2.8352
492	2.8244
493	4.5086
494	3.4749
495	0.6148
496	3.8807
497	2.491
498	2.8956
499	3.9235
500	2.3101
501	3.7658
502	3.6671
503	4.0371
504	2.4091
505	0.9919
506	4.4185
507	1.8112
508	2.8343
509	3.0165
510	1.71
511	3.476
512	0.7211
513	4.6397
514	2.4083
515	1.552
516	3.8665
517	4.0334
518	4.0612
519	0.9968
520	3.6897
521	4.1846
522	2.5316
523	0.5953
524	4.0151
525	3.2375
526	3.1845
527	2.0681
528	3.5484
529	1.7273
530	0.6199
531	2.7142
532	3.8813
533	3.4542
534	2.1569
535	0.2304
536	4.2758
537	2.8901
538	0.0978
539	0.9252
540	3.1737
541	3.6466
542	4.5636
543	3.9625
544	1.0212
545	3.9742
546	0.1541
547	4.2878
548	2.5161
549	1.9852
550	0.9874
551	0.9402
552	3.1234
553	4.1407
554	4.2009
555	0.1726
556	2.82
557	3.784
558	2.7913
559	0.1321
560	4.3013
561	3.7423
562	0.7668
563	2.8732
564	0.3504
565	3.3858
566	3.4731
567	1.9739
568	4.1891
569	4.0817
570	3.0471
571	3.2508
572	0.5687
573	4.6942
574	3.8409
575	1.9905
576	3.5404
577	3.3089
578	2.2841
579	3.9206
580	3.7141
581	3.4084
582	0.6866
583	1.8526
584	2.4503
585	4.1296
586	3.4021
587	3.9851
588	0.8348
589	2.187
590	0.18
591	0.9233
592	1.6305
593	1.0957
594	3.8401
595	3.1696
596	2.4692
597	4.6477
598	3.3456
599	0.6923
600	3.7847
601	2.4603
602	2.8418
603	3.9058
604	2.1489
605	3.716
606	3.6324
607	3.9305
608	2.1547
609	1.2286
610	4.2558
611	1.8326
612	2.7107
613	3.4243
614	1.4299
615	3.4476
616	0.5707
617	4.6524
618	2.2521
619	1.2016
620	4.1006
621	4.1385
622	4.0618
623	1.0845
624	3.6694
625	4.0955
626	2.6564
627	0.7256
628	4.1357
629	3.1986
630	3.2296
631	1.9719
632	3.5793
633	1.7024
634	0.7344
635	2.6401
636	3.8947
637	3.5341
638	2.2569
639	0.207
640	4.2304
641	2.7498
642	0.1597
643	0.7851
644	3.0096
645	3.4965
646	4.4802
647	4.0294
648	1.0853
649	3.9751
650	0.1984
651	4.2678
652	2.6672
653	2.0528
654	1.3235
655	0.9564
656	3.016
657	3.4941
658	4.1077
659	0.1308
660	2.4445
661	3.72
662	2.7547
663	0.1123
664	3.7534
665	3.7075
666	0.7292
667	2.8523
668	0.3312
669	3.3284
670	3.4652
671	1.9011
672	4.283
673	4.0367
674	2.9521
675	3.2187
676	0.8076
677	4.4138
678	3.8258
679	1.8969
680	3.4557
681	3.1982
682	2.3338
683	3.8859
684	3.6375
685	3.3944
686	0.7142
687	1.8292
688	2.3702
689	3.9067
690	3.3341
691	3.9595
692	0.5325
693	1.9394
694	0.1392
695	1.4175
696	1.4767
697	1.1178
698	3.7649
699	2.9484
700	2.5152
701	4.3054
702	3.3684
703	0.9584
704	3.7689
705	2.2809
706	2.8219
707	3.7624
708	2.3858
709	3.7641
710	3.5878
711	3.8529
712	2.0464
713	1.3491
714	4.1223
715	2.221
716	2.694
717	2.6953
718	1.4605
719	3.4014
720	0.6712
721	4.4925
722	2.4254
723	1.1762
724	4.0593
725	3.8109
726	4.0231
727	0.921
728	3.5821
729	4.0441
730	2.6598
731	0.6614
732	4.0298
733	3.2135
734	3.1999
735	1.9871
736	3.5774
737	1.3985
738	0.9129
739	2.6334
740	3.764
741	3.4344
742	2.2921
743	0.203
744	4.2419
745	2.9449
746	0.1784
747	0.9759
748	3.0611
749	3.4159
750	4.4446
751	3.8698
752	1.0488
753	3.8798
754	0.1545
755	4.1626
756	2.4588
757	2.1528
758	1.2283
759	0.7632
760	3.032
761	3.6252
762	3.9793
763	0.1221
764	2.1248
765	3.7161
766	2.6996
767	0.1152
768	3.8735
769	3.5561
770	0.6634
771	2.7412
772	0.3199
773	3.267
774	3.4315
775	1.9897
776	3.7573
777	3.974
778	2.9392
779	3.1802
780	0.5521
781	4.1505
782	3.8069
783	1.9127
784	3.4398
785	3.0725
786	2.2811
787	3.8003
788	3.6131
789	3.3912
790	0.6556
791	1.9593
792	2.3936
793	3.9087
794	3.2952
795	3.8499
796	0.7645
797	1.7767
798	0.0738
799	1.164
800	1.4376
801	1.1101
802	3.7788
803	3.0777
804	2.2739
805	4.5391
806	3.3601
807	0.7206
808	3.7296
809	2.1775
810	2.78
811	3.7504
812	2.3013
813	3.7574
814	3.5574
815	3.7717
816	2.1523
817	1.4632
818	4.2071
819	2.2374
820	2.7309
821	2.4473
822	1.3971
823	3.3577
824	0.7629
825	4.5542
826	2.5285
827	1.2125
828	3.8254
829	4.0746
830	4.0463
831	0.8969
832	3.6424
833	4.0021
834	2.4576
835	0.5136
836	3.9559
837	3.022
838	3.1581
839	1.9614
840	3.4827
841	1.2926
842	0.7793
843	2.6482
844	3.7817
845	3.5124
846	2.179
847	0.1336
848	4.1932
849	3.0511
850	0.1526
851	0.8841
852	2.8361
853	3.5023
854	4.3875
855	3.8058
856	1.009
857	3.8181
858	0.1339
859	4.361
860	2.4633
861	2.0696
862	0.9362
863	0.7414
864	2.9969
865	3.0539
866	4.1881
867	0.1173
868	2.7685
869	3.6988
870	2.7501
871	0.1146
872	3.7574
873	3.5878
874	0.6485
875	2.7433
876	0.3313
877	3.2671
878	3.3806
879	1.6701
880	4.087
881	3.834
882	2.6736
883	3.1317
884	0.5716
885	4.0951
886	3.8175
887	1.8585
888	3.4291
889	3.226
890	2.0965
891	3.7917
892	3.5319
893	3.3709
894	0.6821
895	1.6321
896	2.4126
897	3.9872
898	3.2525
899	3.9076
900	0.655
901	1.8517
902	0.1234
903	0.7636
904	1.4871
905	0.9783
906	3.7996
907	2.8288
908	2.5257
909	4.5633
910	3.3057
911	0.7758
912	3.755
913	2.4641
914	2.7668
915	3.6653
916	2.0708
917	3.713
918	3.4941
919	3.8183
920	2.0624
921	1.0565
922	4.2489
923	2.2559
924	2.7363
925	2.1002
926	1.3133
927	3.3024
928	0.5787
929	4.4963
930	2.4004
931	1.2868
932	3.5219
933	3.7104
934	3.9443
935	1.1727
936	3.5755
937	3.7943
938	2.419
939	0.4979
940	3.9736
941	3.128
942	3.0306
943	1.805
944	3.4848
945	1.1247
946	0.8777
947	2.5866
948	3.7096
949	3.4499
950	2.313
951	0.2322
952	4.1554
953	2.7386
954	0.1219
955	0.8036
956	3.0048
957	3.4243
958	4.3656
959	3.8321
960	0.9566
961	3.8616
962	0.1162
963	4.0877
964	2.6046
965	1.9627
966	1.3895
967	0.5548
968	2.9805
969	3.3391
970	4.234
971	0.1198
972	2.7941
973	3.65
974	2.6865
975	0.0911
976	3.4432
977	3.5638
978	0.5693
979	2.7176
980	0.2775
981	2.8879
982	3.3889
983	1.7962
984	4.0763
985	3.9189
986	2.8027
987	3.1108
988	0.5603
989	3.8384
990	3.6485
991	1.7819
992	3.3717
993	3.0647
994	2.1796
995	3.7101
996	3.5913
997	3.2703
998	0.7768
999	1.8174
1000	2.4776
1001	3.9157
1002	3.2581
1003	3.8248
1004	0.5031
1005	1.9498
1006	0.1269
1007	0.82
1008	1.2952
1009	1.1038
1010	3.7601
1011	2.6024
1012	2.4777
1013	4.6217
1014	3.3022
1015	0.6702
1016	3.7308
1017	2.2595
1018	2.8153
1019	3.7684
1020	2.2565
1021	3.6811
1022	3.4769
1023	3.7034
1024	1.9292
1025	0.9822
1026	4.2012
1027	1.856
1028	2.5496
1029	2.9069
1030	1.298
1031	3.2891
1032	0.453
1033	4.3568
1034	2.1074
1035	0.8737
1036	2.7742
1037	3.9193
1038	3.8571
1039	0.8488
1040	3.5314
