Step	Loss
1	4.6224
2	3.5494
3	1.238
4	5.1929
5	4.0529
6	4.452
7	3.4907
8	4.4411
9	1.1345
10	1.8156
11	3.6142
12	4.8516
13	4.2036
14	2.3881
15	1.008
16	5.0811
17	3.3953
18	0.9688
19	2.3821
20	3.9019
21	4.1127
22	5.0217
23	4.9661
24	1.2852
25	4.9653
26	0.0816
27	4.6794
28	3.4359
29	2.4056
30	2.2149
31	0.652
32	4.0744
33	3.7822
34	4.4817
35	0.7744
36	2.2351
37	4.8323
38	3.5296
39	0.9165
40	7.0941
41	4.6756
42	1.658
43	3.2221
44	0.9
45	3.8652
46	4.4776
47	3.0817
48	5.3534
49	4.4486
50	3.5307
51	4.1033
52	1.2772
53	2.7819
54	4.6664
55	2.6639
56	4.5636
57	4.2815
58	2.3284
59	4.6431
60	4.5946
61	3.9576
62	0.8419
63	2.8743
64	2.8485
65	4.6759
66	3.9918
67	4.8212
68	0.9137
69	3.6029
70	0.0921
71	0.7285
72	2.426
73	1.4508
74	4.6045
75	4.1615
76	2.7307
77	5.213
78	3.9606
79	1.3498
80	4.3545
81	3.7339
82	3.2001
83	4.8486
84	2.9223
85	4.3866
86	4.2884
87	4.5567
88	2.5204
89	2.3176
90	4.7622
91	3.2878
92	2.9977
93	2.3017
94	1.8669
95	3.9513
96	1.2982
97	4.9261
98	2.9204
99	1.0407
100	3.0665
101	5.0258
102	4.8729
103	1.3633
104	4.2346
105	4.5159
106	3.0337
107	1.2779
108	4.7368
109	3.8084
110	3.8433
111	2.9927
112	4.0958
113	1.1923
114	1.5694
115	3.082
116	4.5729
117	3.7873
118	2.1973
119	0.8436
120	4.6619
121	3.2555
122	0.3318
123	1.7214
124	3.5228
125	3.8632
126	4.576
127	4.4868
128	1.2904
129	4.579
130	0.2201
131	4.4705
132	3.098
133	2.2623
134	1.7065
135	0.5842
136	3.746
137	3.3285
138	4.3977
139	0.5847
140	2.2368
141	4.4307
142	3.0987
143	0.6388
144	6.2258
145	4.2666
146	1.075
147	2.8303
148	0.7322
149	3.8302
150	4.1034
151	2.2135
152	4.5413
153	4.2874
154	3.147
155	3.7513
156	1.0578
157	4.1102
158	4.2618
159	2.3743
160	4.1022
161	3.893
162	2.3296
163	4.269
164	4.3188
165	3.7093
166	1.0484
167	2.4994
168	2.6885
169	4.3692
170	3.6831
171	4.436
172	0.8328
173	3.4295
174	0.3658
175	0.5618
176	1.7111
177	1.4613
178	4.2942
179	3.9168
180	2.5435
181	5.0105
182	3.7711
183	1.2428
184	4.0819
185	3.3559
186	3.0395
187	4.5799
188	2.5838
189	4.2279
190	4.0492
191	4.3134
192	2.6582
193	1.5564
194	4.7419
195	3.2183
196	2.9137
197	2.0149
198	1.7805
199	3.7302
200	0.9278
201	4.779
202	2.5728
203	0.9564
204	3.6251
205	4.7754
206	4.5619
207	1.1193
208	3.9409
209	4.2856
210	3.3626
211	1.0004
212	4.5673
213	3.7678
214	3.6799
215	2.6906
216	3.9511
217	1.5572
218	1.2549
219	2.9395
220	4.139
221	3.7375
222	2.0827
