Step	Loss
1	6.0412
2	4.1014
3	2.1865
4	5.6638
5	5.0722
6	5.4356
7	4.3737
8	5.1328
9	3.3632
10	1.7299
11	4.0382
12	5.5569
13	5.0265
14	3.0345
15	1.1123
16	5.7995
17	4.0914
18	2.3582
19	2.6572
20	4.9482
21	4.6352
22	5.8322
23	5.5472
24	1.959
25	5.6383
26	1.5889
27	5.2869
28	4.0512
29	2.8968
30	2.0355
31	3.7751
32	4.6367
33	5.1077
34	4.3525
35	1.0655
36	3.9965
37	5.2373
38	4.3488
39	1.1953
40	7.3495
41	5.3731
42	2.1013
43	3.5527
44	1.1419
45	5.3899
46	5.0077
47	4.3394
48	5.3871
49	5.3988
50	3.8336
51	4.7469
52	1.5829
53	7.3442
54	5.1045
55	2.977
56	4.9861
57	4.7301
58	3.2157
59	5.2073
60	4.8113
61	4.5775
62	1.0898
63	3.7875
64	3.23
65	5.4443
66	4.516
67	5.6549
68	1.3592
69	4.4395
70	0.7774
71	3.7792
72	2.0829
73	1.9889
74	4.976
75	5.1135
76	4.0674
77	5.4785
78	4.5824
79	1.6536
80	4.8002
81	4.0119
82	3.6402
83	5.2192
84	2.7313
85	5.1478
86	5.0294
87	5.0994
88	2.9848
89	2.4478
90	5.4676
91	3.1614
92	3.8535
93	3.779
94	2.2291
95	4.5585
96	1.9188
97	5.2818
98	3.3693
99	1.9009
100	4.9994
101	5.8271
102	5.391
103	1.409
104	4.5666
105	5.1831
106	3.4785
107	1.6863
108	5.1283
109	4.2325
110	4.6007
111	3.71
112	4.5746
113	2.4107
114	1.596
115	3.5655
116	4.8892
117	4.2414
118	2.8486
119	0.8764
120	5.2581
121	3.5943
122	0.7112
123	1.5806
124	4.4166
125	4.24
126	5.2425
127	4.8778
128	1.3613
129	5.1182
130	0.947
131	4.7511
132	3.3582
133	2.5056
134	2.031
135	2.4237
136	4.1833
137	4.6189
138	4.3212
139	0.6446
140	3.5652
141	4.721
142	3.7619
143	0.7557
144	6.4035
145	4.7595
146	1.7389
147	3.3505
148	0.8295
149	4.3535
150	4.4925
151	3.1943
152	4.8727
153	4.799
154	3.3294
155	4.2622
156	1.2278
157	5.8678
158	4.6307
159	2.5449
160	4.5116
161	4.0961
162	3.013
163	4.6501
164	4.5042
165	4.1428
166	0.9441
167	3.0004
168	2.8711
169	5.0957
170	4.0838
171	5.1987
172	1.2966
173	3.8392
174	2.2391
175	2.4575
176	2.167
177	1.5918
178	4.6216
179	4.5623
180	3.549
181	5.5006
182	4.2013
183	1.1508
184	4.5222
185	3.8436
186	3.3004
187	4.9911
188	2.7198
189	4.5883
190	4.531
191	4.7122
192	2.5875
193	2.2884
194	5.0697
195	3.0927
196	3.296
197	2.9589
198	2.0575
199	4.1613
200	1.5026
201	5.1281
202	2.9035
203	1.4359
204	4.4128
205	5.5241
206	5.0911
207	1.2401
208	4.2676
209	5.1442
210	3.1834
211	1.4919
212	4.9273
213	3.9966
214	4.0602
215	3.439
216	4.3235
217	2.116
218	1.7397
219	3.2647
220	4.5767
221	4.1188
222	2.6519
223	0.836
224	5.0052
225	3.4737
226	0.3587
227	1.5899
228	4.1708
229	4.0703
230	5.015
231	4.6726
232	1.2691
233	4.7824
234	0.7455
235	4.5994
236	3.2014
237	2.3575
238	1.4041
239	2.0861
240	3.933
241	4.1658
242	4.4009
243	0.5514
244	3.8078
245	4.6071
246	3.5314
247	0.5987
248	6.7361
249	4.5746
250	1.2387
251	3.0745
252	0.6879
253	4.17
254	4.2835
255	2.8876
256	4.699
257	4.574
258	3.4655
259	3.9717
260	1.1181
261	6.622
262	4.4722
263	2.3572
264	4.4262
265	3.9474
266	2.6362
267	4.4884
268	4.2507
269	3.9686
270	1.3602
271	2.8727
272	2.6881
273	4.8347
274	3.9777
275	4.8304
276	0.7234
277	3.3913
278	0.3442
279	1.7719
280	1.7074
281	1.4096
282	4.5049
283	4.2567
284	3.0403
285	5.3293
286	4.0452
287	1.127
288	4.3453
289	3.6379
290	3.2546
291	4.7317
292	2.5364
293	4.4427
294	4.308
295	4.541
296	2.9659
297	1.8617
298	4.8408
299	3.0136
300	3.1725
301	3.6828
302	1.9621
303	3.9494
304	1.2341
305	4.9557
306	2.8786
307	1.3828
308	4.7296
309	5.4918
310	4.8145
311	1.1238
312	4.1567
313	4.8922
314	3.3547
315	1.2176
316	4.6401
317	4.1722
318	3.9809
319	3.1271
320	4.1255
321	2.3042
322	1.4674
323	3.1509
324	4.5762
325	3.9671
326	2.3686
327	0.7615
328	4.8696
329	3.4296
330	0.2895
331	1.6105
332	4.0932
333	3.9564
334	4.8814
335	4.4254
336	1.0233
337	4.6294
338	0.4077
339	4.3879
340	2.914
341	2.2516
342	1.9033
343	1.5937
344	3.7756
345	5.2388
346	4.3673
347	0.561
348	3.0188
349	4.4303
350	3.3245
351	0.492
352	6.3667
353	4.2995
354	1.3634
355	3.0167
356	0.7045
357	4.2783
358	4.1383
359	2.6824
360	4.7035
361	4.3691
362	3.682
363	3.9045
364	0.9499
365	5.3218
366	4.3535
367	2.4274
368	4.1496
369	3.8938
370	2.497
371	4.2432
372	4.364
373	3.9292
374	0.9486
375	2.5866
376	2.7377
377	4.6403
378	3.9594
379	4.7471
380	0.7033
381	3.7412
382	0.4637
383	1.5814
384	1.67
385	1.7263
386	4.3702
387	3.9436
388	3.003
389	5.0068
390	3.9817
391	1.0763
392	4.2794
393	3.7947
394	3.2579
395	4.7158
396	2.4759
397	4.228
398	4.1789
399	4.3978
400	2.8313
401	2.1757
402	4.7147
403	2.735
404	3.2638
405	2.6749
406	1.845
407	3.8803
408	0.9248
409	5.0729
410	2.7448
411	1.3331
412	4.2391
413	4.8379
414	4.6773
415	1.1274
416	4.0769
417	4.5811
418	3.144
419	1.3295
420	4.4631
421	3.7792
422	3.8492
423	2.9646
424	4.0202
425	2.2016
426	1.3542
427	3.1184
428	4.3368
429	3.8813
430	2.5044
431	0.5635
432	4.7721
433	3.207
434	0.3546
435	1.5801
436	3.7
437	3.8799
438	4.719
439	4.5019
440	1.2537
441	4.533
442	0.4864
443	4.5398
444	2.9343
445	2.3936
446	1.6615
447	1.2454
448	3.642
449	4.2165
450	4.4123
451	0.4361
452	3.016
453	4.3488
454	3.2697
455	0.4844
456	6.3265
457	4.2674
458	1.2653
459	2.9116
460	0.5538
461	3.7844
462	4.0758
463	2.2841
464	4.5009
465	4.2399
466	3.3849
467	3.79
468	1.0409
469	4.7759
470	4.2568
471	2.2778
472	4.2232
473	3.8915
474	2.4212
475	4.2665
476	4.2179
477	3.7499
478	0.8865
479	2.3542
480	2.6041
481	4.4482
482	3.7612
483	4.5526
484	0.8079
485	3.1396
486	0.4419
487	1.0808
488	1.7324
489	1.4358
490	4.2887
491	3.6183
492	2.8973
493	5.0253
494	3.8381
495	1.0688
496	4.1469
497	3.3421
498	3.1681
499	4.7849
500	2.3883
501	4.1916
502	4.1361
503	4.4243
504	2.4927
505	1.6548
506	4.5778
507	2.742
508	3.1009
509	2.4115
510	1.8357
511	3.8206
512	1.1615
513	4.8813
514	2.8337
515	1.455
516	4.0906
517	4.6242
518	4.5592
519	1.3647
520	3.9826
521	4.5505
522	2.9849
523	0.9506
524	4.4705
525	3.6337
526	3.6476
527	2.8921
528	4.0354
529	1.6904
530	1.365
531	3.0469
532	4.1754
533	3.8401
534	2.2061
535	0.5993
536	4.6675
537	3.2759
538	0.2287
539	1.4557
540	3.7685
541	3.8203
542	4.5696
543	4.4334
544	1.1763
545	4.5642
546	0.4494
547	4.3897
548	2.9991
549	2.253
550	1.5308
551	1.3317
552	3.6926
553	3.5833
554	4.332
555	0.4411
556	3.2351
557	4.3338
558	3.1277
559	0.4605
560	6.0529
561	4.1502
562	1.2267
563	2.7457
564	0.5597
565	3.569
566	4.0337
567	2.288
568	4.5468
569	4.1831
570	3.4355
571	3.7376
572	0.9733
573	3.8893
574	4.2287
575	2.2106
576	4.0675
577	3.5864
578	2.4614
579	4.1352
580	4.0752
581	3.6038
582	0.7772
583	2.4966
584	2.6615
585	4.3229
586	3.7127
587	4.4657
588	0.6657
589	3.4241
590	0.5766
591	1.0024
592	1.6059
593	1.4457
594	4.1977
595	3.9083
596	2.8268
597	5.106
598	3.7874
599	0.9251
600	4.1515
601	3.4604
602	3.0329
603	4.5908
604	2.7915
605	4.021
606	3.984
607	4.2647
608	2.6684
609	1.2667
610	4.6518
611	2.5462
612	2.9904
613	2.9006
614	1.7078
615	3.7627
616	0.5329
617	4.8521
618	2.7855
619	1.2285
