Step	Loss
1	2.6882
2	4.2871
3	4.4148
4	4.6221
5	4.1435
6	5.0373
7	1.071
8	2.1337
9	4.0531
10	10.6275
11	3.9695
12	1.9657
13	4.3034
14	2.8809
15	4.3599
16	6.4314
17	5.282
18	4.1364
19	4.1071
20	3.491
21	3.8794
22	2.2826
23	4.0234
24	4.1211
25	4.618
26	3.9052
27	3.9434
28	3.5939
29	1.7313
30	4.4745
31	4.3005
32	4.4895
33	2.7386
34	3.1204
35	3.1927
36	1.2417
37	0.9224
38	1.9474
39	5.0897
40	4.2583
41	3.4269
42	3.8743
43	4.4551
44	1.0347
45	3.5205
46	1.0529
47	4.2346
48	4.5737
49	2.7771
50	1.953
51	0.4542
52	4.123
53	4.6735
54	2.6334
55	4.5128
56	4.8611
57	2.5707
58	3.0794
59	1.6485
60	3.5282
61	4.2762
62	2.8947
63	4.9563
64	3.1426
65	1.4302
66	4.1389
67	2.6706
68	1.0858
69	4.0639
70	3.9566
71	0.8082
72	2.3357
73	1.7474
74	2.3577
75	4.4433
76	2.7723
77	4.063
78	2.1327
79	8.3283
80	3.4566
81	5.7567
82	4.7735
83	3.4218
84	2.8953
85	4.0636
86	2.1679
87	3.8282
88	1.63
89	1.7183
90	3.5763
91	2.627
92	2.2123
93	2.651
94	3.6522
95	3.0522
96	1.9644
97	4.1755
98	2.1247
99	4.1569
100	3.5858
101	2.1305
102	3.8491
103	1.6471
104	3.3357
105	1.2079
106	3.8454
107	4.1982
108	1.899
109	3.6305
110	4.6694
111	0.6086
112	1.0108
113	3.6486
114	5.6923
115	3.6566
116	1.4434
117	4.0669
118	1.6807
119	3.978
120	4.5652
121	4.6446
122	3.7662
123	3.85
124	3.0051
125	3.6596
126	2.1597
127	3.4814
128	3.9327
129	4.1917
130	3.7743
131	3.7888
132	3.2923
133	1.36
134	4.3127
135	4.1344
136	4.2945
137	1.9946
138	3.068
139	2.7756
140	1.4719
141	0.6564
142	2.115
143	4.667
144	4.0852
145	3.153
146	3.6966
147	4.2907
148	0.8488
149	2.6571
150	0.7677
151	3.9343
152	4.609
153	2.5993
154	1.6793
155	0.5923
156	4.0117
157	4.4398
158	2.3503
159	4.3299
160	4.3787
161	2.3962
162	2.9207
163	1.3819
164	3.4124
165	4.0021
166	2.2406
167	3.4711
