Step	Loss
1	1.6314
2	5.5903
3	6.0438
4	2.8954
5	5.2617
6	5.9586
7	2.1529
8	2.0565
9	5.2533
10	4.4943
11	5.0965
12	2.4039
13	5.577
14	1.6105
15	6.2204
16	3.5247
17	5.7574
18	5.0161
19	5.083
20	4.6505
21	4.8314
22	3.2531
23	4.5733
24	5.6693
25	5.4843
26	4.9271
27	4.8912
28	4.6603
29	2.2302
30	5.5558
31	5.0515
32	4.9473
33	2.8663
34	5.4142
35	3.9074
36	1.6808
37	1.4141
38	2.4868
39	6.1394
40	5.2566
41	3.5752
42	4.6959
43	5.3688
44	1.081
45	3.7539
46	1.914
47	5.2452
48	5.7893
49	3.2948
50	3.1307
51	1.2932
52	5.3936
53	5.2982
54	3.5145
55	4.6448
56	4.1541
57	3.294
58	3.5503
59	2.2042
60	3.3614
61	4.9173
62	3.4819
63	4.7033
64	3.9569
65	3.1901
66	4.8222
67	3.016
68	1.7605
69	2.9686
70	4.8435
71	2.0707
72	3.2133
73	2.8246
74	2.9614
75	5.0893
76	3.7081
77	4.5908
78	2.1893
79	7.8458
80	4.8033
81	5.6737
82	5.6415
83	5.1962
84	3.6969
85	4.8816
86	3.0814
87	4.7087
88	2.0725
89	2.7094
90	4.8491
91	2.9767
92	2.8463
93	4.2143
94	4.3552
95	3.8228
96	1.47
97	4.5575
98	3.1838
99	4.8414
100	3.3748
101	2.884
102	4.5025
103	1.3948
104	3.8689
105	1.7426
106	4.7294
107	4.8817
108	1.8026
109	4.1356
110	5.2219
111	1.4696
112	1.5663
113	4.3405
114	3.6981
115	3.9631
116	1.9289
117	4.779
118	1.0742
119	5.4496
120	2.7822
121	4.8014
122	4.425
123	4.4244
124	3.9544
125	4.2535
126	2.5371
127	4.094
128	4.7666
129	4.6794
130	4.2115
131	4.3587
132	3.7508
133	1.6511
134	4.9874
135	4.4792
136	4.6896
137	2.0314
138	5.1674
139	3.3966
140	1.3177
141	0.8506
142	2.5172
143	5.349
144	4.7154
145	3.4028
146	4.1165
147	4.8781
148	0.9405
149	3.3233
150	1.6226
151	4.6806
152	4.8659
153	3.0085
154	2.2621
155	0.9297
156	4.8557
157	4.6606
158	3.1135
159	4.3046
160	3.834
161	2.776
162	3.2269
163	2.2856
164	3.4755
165	4.4374
166	2.6781
167	5.029
168	3.6433
169	2.7584
170	4.3374
171	3.0263
172	1.4027
173	2.697
174	4.2747
175	1.0892
176	2.7503
177	2.546
178	2.6294
179	4.8227
180	3.1909
181	4.2557
182	2.1355
183	7.5206
184	4.2998
185	4.8321
186	5.1279
187	4.5953
188	3.4241
189	4.3493
190	3.1621
191	4.2293
192	2.2349
193	2.4163
194	4.2861
195	2.5912
196	2.2619
197	3.7378
198	3.9186
199	3.5734
200	0.976
201	4.089
202	2.7912
203	4.5938
204	2.8027
205	2.5852
206	4.1681
207	1.0965
208	3.543
209	1.4826
210	4.2792
211	4.4702
212	0.7503
213	3.8538
214	4.8983
215	1.1442
216	1.2161
217	4.0593
218	4.2195
219	3.7975
220	1.8836
221	4.5149
222	0.9857
223	4.5487
224	2.9327
225	4.5532
226	4.207
227	4.1367
228	3.4594
229	4.0901
230	2.4954
231	3.7997
232	4.461
233	4.4807
234	4.0392
235	4.0505
236	3.4023
237	1.5184
238	4.666
239	4.1474
240	4.5611
241	1.8544
242	4.3516
243	3.1571
244	1.229
245	0.7274
246	2.3056
247	4.8786
248	4.4101
249	3.1906
250	3.9257
251	4.7179
252	0.8659
253	3.216
254	1.4535
255	4.0156
256	4.7483
257	2.8211
258	2.1872
259	0.8279
260	4.5562
261	4.4754
262	3.052
263	4.1197
264	3.5158
265	2.6508
266	3.0
267	1.8357
268	3.1608
269	4.3165
270	2.381
271	4.5043
